lead_h,block_days,reference,model,n_common_cases,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
48,3,era5_station,ifs_hres,28312,362,1.2437913632422846,1.2020812780507983,1.283943730050616,0.0,3
48,5,avamet,graphcast_hres_init,28312,362,1.733567966570547,1.6903212522495732,1.7735608068977533,1.0,1
48,5,avamet,ifs_hres,28312,362,1.7960554677686622,1.7525870153051555,1.8401817494469168,0.0,2
48,5,avamet,pangu_hres_init,28312,362,1.8482444256535995,1.8039944042146778,1.8903744637955662,0.0,3
48,5,era5_station,pangu_hres_init,28312,362,0.920218011655291,0.8854245852049073,0.9539401214519768,1.0,1
48,5,era5_station,graphcast_hres_init,28312,362,1.0020938912694697,0.9696581146309615,1.0350298441493138,0.0,2
48,5,era5_station,ifs_hres,28312,362,1.2437913632422846,1.1975620681120946,1.2902002064711342,0.0,3
48,7,avamet,graphcast_hres_init,28312,362,1.733567966570547,1.6900387189785862,1.7752792864975093,1.0,1
48,7,avamet,ifs_hres,28312,362,1.7960554677686622,1.7496983337556569,1.8429846977165876,0.0,2
48,7,avamet,pangu_hres_init,28312,362,1.8482444256535995,1.802629240338505,1.8922628218917488,0.0,3
48,7,era5_station,pangu_hres_init,28312,362,0.920218011655291,0.8870084000626812,0.953239770679692,1.0,1
48,7,era5_station,graphcast_hres_init,28312,362,1.0020938912694697,0.9679154843485911,1.0359473122319087,0.0,2
48,7,era5_station,ifs_hres,28312,362,1.2437913632422846,1.1933411502496798,1.2993571591436113,0.0,3
72,1,avamet,graphcast_hres_init,28232,361,1.7960883084540629,1.7654344373434956,1.8291313178737487,1.0,1
72,1,avamet,ifs_hres,28232,361,1.8710839515675262,1.83356807937654,1.9105786589500873,0.0,2
72,1,avamet,pangu_hres_init,28232,361,1.9032221771055022,1.868044973114291,1.93899679362687,0.0,3
72,1,era5_station,pangu_hres_init,28232,361,0.9905263810510593,0.9568390198760465,1.0265492173571773,1.0,1
72,1,era5_station,graphcast_hres_init,28232,361,1.0759737821939637,1.046792269673373,1.1071096072498994,0.0,2
72,1,era5_station,ifs_hres,28232,361,1.3280426194078643,1.2853215138257776,1.370240555725263,0.0,3
72,3,avamet,graphcast_hres_init,28232,361,1.7960883084540629,1.7583269640381156,1.8365891989983072,1.0,1
72,3,avamet,ifs_hres,28232,361,1.8710839515675262,1.8251001494477088,1.9190533857487224,0.0,2
72,3,avamet,pangu_hres_init,28232,361,1.9032221771055022,1.8608104264053282,1.946439643214948,0.0,3
72,3,era5_station,pangu_hres_init,28232,361,0.9905263810510593,0.9534005009425314,1.029507389427757,1.0,1
72,3,era5_station,graphcast_hres_init,28232,361,1.0759737821939637,1.0405288728430557,1.1123001701616737,0.0,2
72,3,era5_station,ifs_hres,28232,361,1.3280426194078643,1.2717825139020542,1.3843526396490429,0.0,3
72,5,avamet,graphcast_hres_init,28232,361,1.7960883084540629,1.7550782126125124,1.8383360941909372,1.0,1
72,5,avamet,ifs_hres,28232,361,1.8710839515675262,1.8234674783427884,1.9220158148787936,0.0,2
72,5,avamet,pangu_hres_init,28232,361,1.9032221771055022,1.8611685571020817,1.9467192940077669,0.0,3
72,5,era5_station,pangu_hres_init,28232,361,0.9905263810510593,0.950712245840864,1.030320097209825,1.0,1
72,5,era5_station,graphcast_hres_init,28232,361,1.0759737821939637,1.0388630665212715,1.1130232250978909,0.0,2
72,5,era5_station,ifs_hres,28232,361,1.3280426194078643,1.2655455950232222,1.3936020362079062,0.0,3
72,7,avamet,graphcast_hres_init,28232,361,1.7960883084540629,1.7524432059580866,1.8419193418149098,1.0,1
72,7,avamet,ifs_hres,28232,361,1.8710839515675262,1.8208148993472026,1.9221923890492838,0.0,2
72,7,avamet,pangu_hres_init,28232,361,1.9032221771055022,1.859619132351745,1.949202262548453,0.0,3
72,7,era5_station,pangu_hres_init,28232,361,0.9905263810510593,0.9491708220594922,1.0358072520872355,1.0,1
72,7,era5_station,graphcast_hres_init,28232,361,1.0759737821939637,1.0378942489776868,1.115918753640644,0.0,2
72,7,era5_station,ifs_hres,28232,361,1.3280426194078643,1.2621020820584394,1.3991270195952408,0.0,3
120,1,avamet,graphcast_hres_init,28073,359,1.9959921898315185,1.9448776866625748,2.0553489513137233,0.9985,1
120,1,avamet,pangu_hres_init,28073,359,2.0698806488458086,2.020669117565365,2.1226548672102274,0.0005,2
120,1,avamet,ifs_hres,28073,359,2.0706826392108186,2.012105202782251,2.133552896019434,0.001,3
120,1,era5_station,pangu_hres_init,28073,359,1.2594252837909565,1.2045438543961364,1.3155457585719816,0.9685,1
120,1,era5_station,graphcast_hres_init,28073,359,1.3168078370293836,1.2552911315361657,1.385038473614492,0.0315,2
120,1,era5_station,ifs_hres,28073,359,1.5518544672972343,1.4901726161564577,1.6204879271597379,0.0,3
120,3,avamet,graphcast_hres_init,28073,359,1.9959921898315185,1.930832817996717,2.0707860293965945,0.996,1
120,3,avamet,pangu_hres_init,28073,359,2.0698806488458086,2.008959682334544,2.1324645667584092,0.002,2
120,3,avamet,ifs_hres,28073,359,2.0706826392108186,1.997409545371123,2.147455784961313,0.002,3
120,3,era5_station,pangu_hres_init,28073,359,1.2594252837909565,1.1976969391028645,1.3265660666365262,0.9425,1
120,3,era5_station,graphcast_hres_init,28073,359,1.3168078370293836,1.2407241700524507,1.407023250404266,0.0575,2
120,3,era5_station,ifs_hres,28073,359,1.5518544672972343,1.4692263790330702,1.6407532581600555,0.0,3
120,5,avamet,graphcast_hres_init,28073,359,1.9959921898315185,1.9278999974432995,2.069791965309628,0.9975,1
120,5,avamet,pangu_hres_init,28073,359,2.0698806488458086,2.005172522321985,2.1340688476176766,0.002,2
120,5,avamet,ifs_hres,28073,359,2.0706826392108186,1.9927572592952336,2.1545207941706273,0.0005,3
120,5,era5_station,pangu_hres_init,28073,359,1.2594252837909565,1.1922298369115596,1.330091955183845,0.9425,1
120,5,era5_station,graphcast_hres_init,28073,359,1.3168078370293836,1.2368246512191672,1.4049971257455394,0.0575,2
120,5,era5_station,ifs_hres,28073,359,1.5518544672972343,1.4610054921723494,1.6587638440126264,0.0,3
120,7,avamet,graphcast_hres_init,28073,359,1.9959921898315185,1.9320493551440168,2.0696351118919347,0.9945,1
120,7,avamet,pangu_hres_init,28073,359,2.0698806488458086,2.005674368076707,2.1384779059484744,0.005,2
120,7,avamet,ifs_hres,28073,359,2.0706826392108186,1.9960646334031853,2.15426208730132,0.0005,3
120,7,era5_station,pangu_hres_init,28073,359,1.2594252837909565,1.1919764857957755,1.3310050198029126,0.954,1
120,7,era5_station,graphcast_hres_init,28073,359,1.3168078370293836,1.240369075792739,1.4077995309651457,0.046,2
120,7,era5_station,ifs_hres,28073,359,1.5518544672972343,1.4620146522665338,1.6636431279353703,0.0,3
168,1,avamet,graphcast_hres_init,27917,357,2.275772918918373,2.2089286960437424,2.3446162113598383,0.992,1
168,1,avamet,pangu_hres_init,27917,357,2.356366768611973,2.2865853229268676,2.4294668111592923,0.008,2
168,1,avamet,ifs_hres,27917,357,2.402579986847311,2.320651295967113,2.4818462127970964,0.0,3
168,1,era5_station,pangu_hres_init,27917,357,1.646565788957712,1.5695689452684858,1.730495403437771,0.6905,1
168,1,era5_station,graphcast_hres_init,27917,357,1.6683424797651643,1.5889565605414901,1.7537752278290413,0.3095,2
168,1,era5_station,ifs_hres,27917,357,1.9356452757627758,1.8402190162417256,2.0318090831976536,0.0,3
168,3,avamet,graphcast_hres_init,27917,357,2.275772918918373,2.195864715781163,2.3589635338262065,0.986,1
168,3,avamet,pangu_hres_init,27917,357,2.356366768611973,2.26999694581796,2.4506150777708755,0.0125,2
168,3,avamet,ifs_hres,27917,357,2.402579986847311,2.308355863753481,2.502205871784404,0.0015,3
168,3,era5_station,pangu_hres_init,27917,357,1.646565788957712,1.555919140064465,1.7458833258709823,0.6535,1
168,3,era5_station,graphcast_hres_init,27917,357,1.6683424797651643,1.5723105813267173,1.7710959375703694,0.3465,2
168,3,era5_station,ifs_hres,27917,357,1.9356452757627758,1.82365209208279,2.053802512238361,0.0,3
168,5,avamet,graphcast_hres_init,27917,357,2.275772918918373,2.195517477861771,2.3678119668481594,0.9765,1
168,5,avamet,pangu_hres_init,27917,357,2.356366768611973,2.260327166893586,2.461007153075533,0.021,2
168,5,avamet,ifs_hres,27917,357,2.402579986847311,2.301758084284944,2.5089195917170826,0.0025,3
168,5,era5_station,pangu_hres_init,27917,357,1.646565788957712,1.5414313230260515,1.7568759353782557,0.677,1
168,5,era5_station,graphcast_hres_init,27917,357,1.6683424797651643,1.5765147102317845,1.7726769282978567,0.323,2
168,5,era5_station,ifs_hres,27917,357,1.9356452757627758,1.8116235610241016,2.0584922734246067,0.0,3
168,7,avamet,graphcast_hres_init,27917,357,2.275772918918373,2.190025487037486,2.370451038784459,0.976,1
168,7,avamet,pangu_hres_init,27917,357,2.356366768611973,2.260397330226016,2.4624758793755164,0.0205,2
168,7,avamet,ifs_hres,27917,357,2.402579986847311,2.3018155216931175,2.509672891663079,0.0035,3
168,7,era5_station,pangu_hres_init,27917,357,1.646565788957712,1.5433805147621151,1.755398537269788,0.6815,1
168,7,era5_station,graphcast_hres_init,27917,357,1.6683424797651643,1.570409285455076,1.7693146706090859,0.3185,2
168,7,era5_station,ifs_hres,27917,357,1.9356452757627758,1.8197132933834428,2.0609146185927463,0.0,3
