lead_h,station_id,station_effect_c,n_common_cases,n_daily_blocks,latitude,longitude,altitude_m,era5_grid_elevation_m,delta_z_m,abs_delta_z_m,coast_stratum
24,c30m054e02,-0.669974072791232,725,363,38.724003,-0.196146,521.0,380.00556033226616,140.99443966773384,140.99443966773384,coast_0_25km
24,c30m082e01,0.017322783529248043,724,363,38.793659,0.180166,15.0,50.32280428524598,-35.32280428524598,35.32280428524598,coast_0_25km
24,c30m082e02,0.03149748765495097,720,361,38.7836,0.1661,15.0,58.59170899453435,-43.59170899453435,43.59170899453435,coast_0_25km
24,c30m082e04,-0.02376648390714331,649,346,38.7866163,0.1488959,66.0,66.43382540418557,-0.4338254041855691,0.4338254041855691,coast_0_25km
24,c30m082e06,0.019306562969661323,679,343,38.7297,0.1956,10.0,45.71994279353819,-35.71994279353819,35.71994279353819,coast_0_25km
24,c30m082e10,-0.035579681943731845,678,341,38.7947,0.1516,110.0,63.61425563686398,46.38574436313602,46.38574436313602,coast_0_25km
24,c30m082e11,-0.12157317959329994,723,363,38.8005556,0.108889,131.0,82.17742070325087,48.822579296749126,48.822579296749126,coast_0_25km
24,c30m082e13,-0.009200615580569171,702,359,38.7616,0.14841,20.0,71.47996388132009,-51.47996388132009,51.47996388132009,coast_0_25km
24,c30m082e14,-0.023431246017293295,725,363,38.790295,0.162746,65.0,59.11072145920068,5.8892785407993244,5.8892785407993244,coast_0_25km
24,c30m082e15,-0.12663687457893535,703,360,38.777753,0.110718,80.0,87.19904733869001,-7.199047338690008,7.199047338690008,coast_0_25km
24,c30m082e16,0.06136726138642201,724,363,38.774076,0.188929,5.0,48.587054224262126,-43.587054224262126,43.587054224262126,coast_0_25km
24,c30m082e22,-0.09709282742090308,722,362,38.75,0.119722,328.0,89.40849194328594,238.59150805671408,238.59150805671408,coast_0_25km
24,c30m082e26,-0.09128481416444956,713,362,38.804705,0.15892,190.0,58.42841382149703,131.57158617850297,131.57158617850297,coast_0_25km
24,c30m082e29,-0.08105291008107407,699,360,38.790573,0.117238,70.0,80.78986657281023,-10.789866572810226,10.789866572810226,coast_0_25km
24,c30m082e30,0.06264745953363166,695,348,38.773222,0.177782,20.0,54.34606283802541,-34.346062838025404,34.346062838025404,coast_0_25km
24,c30m095e03,-0.10342581150699537,680,348,38.825763,0.02153,48.0,112.03460270631322,-64.03460270631322,64.03460270631322,coast_0_25km
24,c30m100e03,-0.37223852695852533,703,359,38.7480556,-0.064444,259.0,311.74353023229565,-52.743530232295655,52.743530232295655,coast_0_25km
24,c30m101e01,-0.20628609178315316,682,342,38.790556,0.039167,54.0,118.06782535481366,-64.06782535481366,64.06782535481366,coast_0_25km
24,c30m102e03,-0.035781157940021235,694,355,38.8309,-0.1034,81.0,253.37529922012152,-172.37529922012152,172.37529922012152,coast_0_25km
