lead_h,sensitivity,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,lapse_rate_8_K_per_km_all_stations,1,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8372364245821113,0.8865716312104254,1.0,1
24,lapse_rate_8_K_per_km_all_stations,1,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9123363406363015,0.9579028574927758,0.0,2
24,lapse_rate_8_K_per_km_all_stations,1,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.128704552346628,1.1889067123653725,0.0,3
24,lapse_rate_8_K_per_km_all_stations,3,avamet,graphcast_hres_init,102976,146,363,1.499447590106975,1.4524544120407221,1.543942144514166,1.0,1
24,lapse_rate_8_K_per_km_all_stations,3,avamet,pangu_hres_init,102976,146,363,1.5911665602774523,1.5396117663065403,1.6420697319695743,0.0,2
24,lapse_rate_8_K_per_km_all_stations,3,avamet,ifs_hres,102976,146,363,1.6006624551987758,1.5556163890891213,1.6458593552944942,0.0,3
24,lapse_rate_8_K_per_km_all_stations,3,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8329243337763061,0.8888154008398667,1.0,1
24,lapse_rate_8_K_per_km_all_stations,3,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9069298925975117,0.9640259790897998,0.0,2
24,lapse_rate_8_K_per_km_all_stations,3,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1223912163065317,1.1965971910876996,0.0,3
24,lapse_rate_8_K_per_km_all_stations,5,avamet,graphcast_hres_init,102976,146,363,1.499447590106975,1.4508566977000004,1.5502788488604926,1.0,1
24,lapse_rate_8_K_per_km_all_stations,5,avamet,pangu_hres_init,102976,146,363,1.5911665602774523,1.535828614789264,1.6497929283993686,0.0,2
24,lapse_rate_8_K_per_km_all_stations,5,avamet,ifs_hres,102976,146,363,1.6006624551987758,1.5510958605590621,1.6534835816050852,0.0,3
24,lapse_rate_8_K_per_km_all_stations,5,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8316438650275594,0.8920992516714829,1.0,1
24,lapse_rate_8_K_per_km_all_stations,5,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9052874314119554,0.9634212138337178,0.0,2
24,lapse_rate_8_K_per_km_all_stations,5,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1171123515999393,1.1987927389900666,0.0,3
24,lapse_rate_8_K_per_km_all_stations,7,avamet,graphcast_hres_init,102976,146,363,1.499447590106975,1.448521799103455,1.5505596869516856,1.0,1
24,lapse_rate_8_K_per_km_all_stations,7,avamet,pangu_hres_init,102976,146,363,1.5911665602774523,1.5319777253207791,1.646789095455605,0.0,2
24,lapse_rate_8_K_per_km_all_stations,7,avamet,ifs_hres,102976,146,363,1.6006624551987758,1.5483190380681595,1.6531078808365092,0.0,3
24,lapse_rate_8_K_per_km_all_stations,7,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8286194351544028,0.8923548373510215,1.0,1
24,lapse_rate_8_K_per_km_all_stations,7,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9028779122404657,0.965377812231087,0.0,2
24,lapse_rate_8_K_per_km_all_stations,7,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1152482348329726,1.1996566992152204,0.0,3
24,raw_abs_delta_z_lt_100m,1,avamet,graphcast_hres_init,53554,76,363,1.5558203524628162,1.52186603293959,1.589844297461302,1.0,1
24,raw_abs_delta_z_lt_100m,1,avamet,ifs_hres,53554,76,363,1.6245656534196102,1.5912618997503827,1.6574905235927504,0.0,2
24,raw_abs_delta_z_lt_100m,1,avamet,pangu_hres_init,53554,76,363,1.6314451385355608,1.592991465941289,1.6689546873993153,0.0,3
24,raw_abs_delta_z_lt_100m,1,era5_station,pangu_hres_init,53554,76,363,0.8361933121224161,0.8127201164136792,0.8604057746311449,1.0,1
24,raw_abs_delta_z_lt_100m,1,era5_station,graphcast_hres_init,53554,76,363,0.916503214446489,0.8944248340741692,0.9389047370279531,0.0,2
24,raw_abs_delta_z_lt_100m,1,era5_station,ifs_hres,53554,76,363,1.1421133295490875,1.1138685988505599,1.171812723917242,0.0,3
24,raw_abs_delta_z_lt_100m,3,avamet,graphcast_hres_init,53554,76,363,1.5558203524628162,1.514367074974456,1.597652306069753,1.0,1
