cell_id,mae_advantage_c,rmse_advantage_c,minimum_days,maximum_days,sites,mean_latitude,mean_longitude,absolute_latitude_deg,altitude_m,station_minus_era5_elevation_m,absolute_elevation_mismatch_m,era5_orography_sd_m,era5_filtered_subgrid_orography_sd_m,era5_subgrid_orography_slope,era5_land_fraction_100km,era5_landsea_heterogeneity_100km,climate_belt,spatial_block
b145s0118,-0.6023974609401003,-0.7818471327184383,365,365,2,41.04999995,140.9916666,41.04999995,4.445,-126.51250618240424,126.51250618240424,68.47989931666729,41.42546922874432,0.0100987113825996,0.3484417733333885,0.3730149709058137,subtropical,13_32
b145s0119,-0.019765273438378788,-0.08845394237065689,349,349,1,40.5333333,141.5166666,40.5333333,28.54,-67.66521957587148,67.66521957587148,46.808514957473975,32.96742271666081,0.0066102132891197,0.3675873909384542,0.4030416265037067,subtropical,13_32
b145s0240,-0.6621566474996344,-0.8757658371665168,365,365,2,40.709295,-73.82218,40.709295,2.85,-13.536525494934816,13.536525494934816,14.983803093247133,10.833990027955696,0.0031122774448161,0.6100261960718787,0.4145248822570725,subtropical,13_10
b145s0295,-0.36089114133354316,-0.55617157760406,365,365,1,41.248055,-8.681389,41.248055,69.49,-1.8881751376496825,1.8881751376496825,26.1615656808852,27.762179595288483,0.0047878843286543,0.536501215906232,0.4633671129993792,subtropical,13_17
b145s0300,-0.5609887160019821,-0.6129819408158005,363,363,1,40.6666666,-3.1666666,40.6666666,640.0,-193.716040507525,193.716040507525,81.16622627665464,58.81794975959495,0.0150032963509943,0.9943807271803012,0.046823333066631,subtropical,13_17
b146s0000,-0.3334919694583191,-0.5372275458801334,364,364,1,41.6333333,0.6,41.6333333,199.0,-99.51271898694024,99.51271898694024,81.8491464302297,43.98679321126721,0.0122383177800429,0.8150222476247774,0.3515271264267092,subtropical,13_18
b146s0002,-0.85926660261401,-0.9777045664209904,365,365,1,41.900969,2.760547,41.900969,142.64,-124.48892628457708,124.48892628457708,129.58067777118364,90.4089115200008,0.0218860474207631,0.4631278363201523,0.457905827730412,subtropical,13_18
b146s0007,-1.3450678598921904,-1.7169641383430507,365,365,4,41.90381915,9.210006825,41.90381915,28.630000000000003,-240.2844423543648,240.2844423543648,143.42987199044683,88.45621930360048,0.0237185599996437,0.2450416245855156,0.3422384443503157,subtropical,13_18
b146s0009,-0.5389983688645797,-0.691032282279958,357,357,1,42.0166666,11.8166666,42.0166666,4.0,-57.73868041249849,57.73868041249849,8.314795314237907,5.32531717067396,0.0013904350240663,0.4449146199859835,0.4454638814234514,subtropical,13_19
b146s0010,-0.7344434228953164,-0.9273184069728803,364,364,1,41.659372,12.445156,41.659372,12.49,-44.66291391168985,44.66291391168985,25.389855029579884,25.272397912893453,0.0048774455467068,0.4366760010641622,0.4476584612520802,subtropical,13_19
