lead_h,metric,bootstrap,temporal_block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,score,score_ci_low,score_ci_high,bootstrap_winner_frequency,rank,ranking_applicable
24,rmse,temporal_circular_blocks,3,avamet,ifs_hres,102976,146,363,2.252304401915769,2.1988120833861258,2.311476393167972,0.0,2.0,True
24,rmse,temporal_circular_blocks,3,avamet,pangu_hres_init,102976,146,363,2.256618924694091,2.201057500456474,2.3149697500913455,0.0,3.0,True
24,rmse,temporal_circular_blocks,3,era5_station,pangu_hres_init,102976,146,363,1.0641333655142644,1.0336053421607985,1.0963315621972693,1.0,1.0,True
24,rmse,temporal_circular_blocks,3,era5_station,graphcast_hres_init,102976,146,363,1.1521888892020982,1.1200932994510142,1.1844018057365304,0.0,2.0,True
24,rmse,temporal_circular_blocks,3,era5_station,ifs_hres,102976,146,363,1.4478638473613132,1.4060863973216764,1.4911132894056893,0.0,3.0,True
24,rmse,temporal_circular_blocks,5,avamet,graphcast_hres_init,102976,146,363,2.1697287864986308,2.112476253921691,2.232819900376173,1.0,1.0,True
24,rmse,temporal_circular_blocks,5,avamet,ifs_hres,102976,146,363,2.252304401915769,2.190822134380415,2.317242103143013,0.0,2.0,True
24,rmse,temporal_circular_blocks,5,avamet,pangu_hres_init,102976,146,363,2.256618924694091,2.195955770170095,2.32094365916456,0.0,3.0,True
24,rmse,temporal_circular_blocks,5,era5_station,pangu_hres_init,102976,146,363,1.0641333655142644,1.0301488457229657,1.098118130234686,1.0,1.0,True
24,rmse,temporal_circular_blocks,5,era5_station,graphcast_hres_init,102976,146,363,1.1521888892020982,1.1173970851716954,1.1887985883376926,0.0,2.0,True
24,rmse,temporal_circular_blocks,5,era5_station,ifs_hres,102976,146,363,1.4478638473613132,1.3998687901410907,1.4929362409704203,0.0,3.0,True
24,rmse,temporal_circular_blocks,7,avamet,graphcast_hres_init,102976,146,363,2.1697287864986308,2.105539889713788,2.2320477856621834,1.0,1.0,True
24,rmse,temporal_circular_blocks,7,avamet,ifs_hres,102976,146,363,2.252304401915769,2.1870469814068847,2.317707879389397,0.0,2.0,True
24,rmse,temporal_circular_blocks,7,avamet,pangu_hres_init,102976,146,363,2.256618924694091,2.192160477474817,2.322275463297823,0.0,3.0,True
24,rmse,temporal_circular_blocks,7,era5_station,pangu_hres_init,102976,146,363,1.0641333655142644,1.026775336882131,1.1009023177594366,1.0,1.0,True
24,rmse,temporal_circular_blocks,7,era5_station,graphcast_hres_init,102976,146,363,1.1521888892020982,1.1129051505135594,1.1911612987558373,0.0,2.0,True
24,rmse,temporal_circular_blocks,7,era5_station,ifs_hres,102976,146,363,1.4478638473613132,1.3967865912729434,1.498641931928865,0.0,3.0,True
