unit,extraction,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses,lead_h
station,nearest,all_eligible,7,ifs_hres,pangu_hres_init,0.3167232275009155,0.06877725092402343,-0.24756521316843444,-0.2781864900052343,-0.21716090080978848,0.0,0.0,24
station,nearest,dense_4_plus,1,graphcast_hres_init,pangu_hres_init,0.032436370849609375,-0.06401664044791544,-0.09589549033517256,-0.11723897180733218,-0.07598809928820122,0.0,0.9875,24
station,nearest,dense_4_plus,1,ifs_hres,graphcast_hres_init,0.29884815216064453,0.14606579879344062,-0.15303658936991024,-0.17812084307188608,-0.1280310493715114,0.0,0.0,24
station,nearest,dense_4_plus,1,ifs_hres,pangu_hres_init,0.3312845230102539,0.08204915834552517,-0.2489320797050828,-0.28016185308106345,-0.21901838923234238,0.0,0.0,24
station,nearest,dense_4_plus,3,graphcast_hres_init,pangu_hres_init,0.032436370849609375,-0.06401664044791544,-0.09677601348344778,-0.12119722431242468,-0.07268008527950288,0.0,0.967,24
station,nearest,dense_4_plus,3,ifs_hres,graphcast_hres_init,0.29884815216064453,0.14606579879344062,-0.15263436692607224,-0.1785945533712582,-0.12676609630896135,0.0,0.0,24
station,nearest,dense_4_plus,3,ifs_hres,pangu_hres_init,0.3312845230102539,0.08204915834552517,-0.24941038040952,-0.28014059063357827,-0.21851467010440068,0.0,0.0,24
station,nearest,dense_4_plus,5,graphcast_hres_init,pangu_hres_init,0.032436370849609375,-0.06401664044791544,-0.0961010899575236,-0.12253482378928407,-0.07126742725970053,0.0,0.9515,24
station,nearest,dense_4_plus,5,ifs_hres,graphcast_hres_init,0.29884815216064453,0.14606579879344062,-0.15260258738652077,-0.17918217186596752,-0.1269798805970553,0.0,0.0,24
station,nearest,dense_4_plus,5,ifs_hres,pangu_hres_init,0.3312845230102539,0.08204915834552517,-0.24870367734404436,-0.2821258695033829,-0.21717381437712938,0.0,0.0,24
station,nearest,dense_4_plus,7,graphcast_hres_init,pangu_hres_init,0.032436370849609375,-0.06401664044791544,-0.09618710344775183,-0.12421202724045334,-0.06903854545055595,0.0,0.9525,24
station,nearest,dense_4_plus,7,ifs_hres,graphcast_hres_init,0.29884815216064453,0.14606579879344062,-0.1527675474274931,-0.18068164166733783,-0.1260350286568506,0.0,0.0,24
station,nearest,dense_4_plus,7,ifs_hres,pangu_hres_init,0.3312845230102539,0.08204915834552517,-0.2489546508752449,-0.28143786365202134,-0.21559208954646,0.0,0.0,24
station,nearest,single_station,1,graphcast_hres_init,pangu_hres_init,-0.0286102294921875,-0.08609807033209949,-0.0578057685856206,-0.08680059731161223,-0.030107949477899142,0.0,0.018,24
station,nearest,single_station,1,ifs_hres,graphcast_hres_init,0.3005523681640625,0.12505539585169578,-0.1752957222159181,-0.20360397128382246,-0.14711797636070229,0.0,0.0,24
station,nearest,single_station,1,ifs_hres,pangu_hres_init,0.271942138671875,0.0389573255195963,-0.23310149080153866,-0.2664531316388253,-0.19763495150149168,0.0,0.001,24
station,nearest,single_station,3,graphcast_hres_init,pangu_hres_init,-0.0286102294921875,-0.08609807033209949,-0.057223336627857106,-0.08664921538738563,-0.026126609948685178,0.0005,0.034,24
station,nearest,single_station,3,ifs_hres,graphcast_hres_init,0.3005523681640625,0.12505539585169578,-0.17562190764632324,-0.2118175763749779,-0.14128526346725384,0.0,0.0,24
station,nearest,single_station,3,ifs_hres,pangu_hres_init,0.271942138671875,0.0389573255195963,-0.23284524427418038,-0.2707398639702441,-0.19610610345590188,0.0,0.002,24
station,nearest,single_station,5,graphcast_hres_init,pangu_hres_init,-0.0286102294921875,-0.08609807033209949,-0.057158771477290274,-0.09150177164544826,-0.02048864426313418,0.0015,0.0455,24
station,nearest,single_station,5,ifs_hres,graphcast_hres_init,0.3005523681640625,0.12505539585169578,-0.17611899752512136,-0.21759495642637008,-0.13516332948477416,0.0,0.0,24
station,nearest,single_station,5,ifs_hres,pangu_hres_init,0.271942138671875,0.0389573255195963,-0.23327776900241165,-0.2759795133671799,-0.19179184875961353,0.0,0.001,24
station,nearest,single_station,7,graphcast_hres_init,pangu_hres_init,-0.0286102294921875,-0.08609807033209949,-0.058414870358042804,-0.0912727749776609,-0.023664703124450442,0.0,0.0595,24
station,nearest,single_station,7,ifs_hres,graphcast_hres_init,0.3005523681640625,0.12505539585169578,-0.17435598804580787,-0.220161099582894,-0.12939838768706202,0.0,0.0,24
station,nearest,single_station,7,ifs_hres,pangu_hres_init,0.271942138671875,0.0389573255195963,-0.23277085840385064,-0.2787207443235171,-0.18988321720687532,0.0,0.002,24
station,nearest,sparse_2_3,1,graphcast_hres_init,pangu_hres_init,0.041150450706481934,-0.07996114821571165,-0.1203429580102012,-0.1483616145300965,-0.09205333882837488,0.0,0.9945,24
station,nearest,sparse_2_3,1,ifs_hres,graphcast_hres_init,0.256817102432251,0.12693211469552956,-0.1293932442913767,-0.15382902179898028,-0.10647519575642413,0.0,0.0,24
station,nearest,sparse_2_3,1,ifs_hres,pangu_hres_init,0.2979675531387329,0.04697096647981791,-0.24973620230157792,-0.2831356214785316,-0.21683325528737535,0.0,0.0,24
station,nearest,sparse_2_3,3,graphcast_hres_init,pangu_hres_init,0.041150450706481934,-0.07996114821571165,-0.12051945693790594,-0.15082783862397192,-0.09080140764134711,0.0,0.99,24
