unit,extraction,stratum,block_days,reference,model,n_common_cases,n_units,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank,lead_h
station,bilinear,dense_4_plus,1,era5,graphcast_hres_init,66825,95,363,0.940756407022718,0.9136515951527279,0.9702845121051615,0.0,2,24
station,bilinear,dense_4_plus,1,era5,ifs_hres,66825,95,363,1.176354921563097,1.1431249292897168,1.209784329705743,0.0,3,24
station,bilinear,dense_4_plus,3,avamet,graphcast_hres_init,66825,95,363,1.665410205810488,1.6275725450853833,1.704243130471102,1.0,1,24
station,bilinear,dense_4_plus,3,avamet,pangu_hres_init,66825,95,363,1.7133697519318958,1.6674662492542658,1.7606775308867808,0.0,2,24
station,bilinear,dense_4_plus,3,avamet,ifs_hres,66825,95,363,1.7660650632471147,1.715098786237536,1.820046975939527,0.0,3,24
station,bilinear,dense_4_plus,3,era5,pangu_hres_init,66825,95,363,0.8374082576791514,0.8062832835433772,0.8669669904420785,1.0,1,24
station,bilinear,dense_4_plus,3,era5,graphcast_hres_init,66825,95,363,0.940756407022718,0.90901785346638,0.9753085665013427,0.0,2,24
station,bilinear,dense_4_plus,3,era5,ifs_hres,66825,95,363,1.176354921563097,1.1353646554480745,1.2173814306575144,0.0,3,24
station,bilinear,dense_4_plus,5,avamet,graphcast_hres_init,66825,95,363,1.665410205810488,1.6226622087384326,1.7059941351891115,1.0,1,24
station,bilinear,dense_4_plus,5,avamet,pangu_hres_init,66825,95,363,1.7133697519318958,1.6615889091246099,1.7643886134269513,0.0,2,24
station,bilinear,dense_4_plus,5,avamet,ifs_hres,66825,95,363,1.7660650632471147,1.705554393617508,1.8241927344619546,0.0,3,24
station,bilinear,dense_4_plus,5,era5,pangu_hres_init,66825,95,363,0.8374082576791514,0.8060638376168485,0.8710282857666019,1.0,1,24
station,bilinear,dense_4_plus,5,era5,graphcast_hres_init,66825,95,363,0.940756407022718,0.9062595564820942,0.9770828695284973,0.0,2,24
station,bilinear,dense_4_plus,5,era5,ifs_hres,66825,95,363,1.176354921563097,1.1302697124762178,1.2203724779572576,0.0,3,24
station,bilinear,dense_4_plus,7,avamet,graphcast_hres_init,66825,95,363,1.665410205810488,1.6235972295258836,1.7073691722078201,1.0,1,24
station,bilinear,dense_4_plus,7,avamet,pangu_hres_init,66825,95,363,1.7133697519318958,1.6622412110860665,1.7656334608915294,0.0,2,24
station,bilinear,dense_4_plus,7,avamet,ifs_hres,66825,95,363,1.7660650632471147,1.7037567593276381,1.8290728517110673,0.0,3,24
station,bilinear,dense_4_plus,7,era5,pangu_hres_init,66825,95,363,0.8374082576791514,0.8019993767106349,0.8731490911753869,1.0,1,24
station,bilinear,dense_4_plus,7,era5,graphcast_hres_init,66825,95,363,0.940756407022718,0.9006610178798984,0.9798287840453788,0.0,2,24
station,bilinear,dense_4_plus,7,era5,ifs_hres,66825,95,363,1.176354921563097,1.1308645138282682,1.2196124701320012,0.0,3,24
station,bilinear,single_station,1,avamet,ifs_hres,11336,16,363,1.519124234673189,1.4884134701530183,1.5484661412789622,0.632,1,24
station,bilinear,single_station,1,avamet,graphcast_hres_init,11336,16,363,1.522093177035213,1.4947950529970397,1.5503840416956722,0.368,2,24
