unit,extraction,stratum,block_days,n_common_cases,n_units,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability,lead_h
station,bilinear,dense_4_plus,1,66643,95,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1733952689674166,-0.19950919394915215,-0.14737006575069753,1.0,48
station,bilinear,dense_4_plus,3,66643,95,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1732841404797519,-0.2021739270368002,-0.14411115175686715,1.0,48
station,bilinear,dense_4_plus,5,66643,95,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.17357031739629786,-0.2031591688628461,-0.14463526442241884,1.0,48
station,bilinear,dense_4_plus,7,66643,95,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.17340487681997105,-0.20251929964667656,-0.14438495346397537,1.0,48
station,bilinear,single_station,1,11306,16,362,ifs_hres,pangu_hres_init,0.9875,graphcast_hres_init__minus__pangu_hres_init,-0.1684694437817961,-0.20106632833329288,-0.1368567028627272,0.6105,48
station,bilinear,single_station,3,11306,16,362,ifs_hres,pangu_hres_init,0.975,graphcast_hres_init__minus__pangu_hres_init,-0.16833580566045994,-0.2060082366949521,-0.13004513553821156,0.6005,48
station,bilinear,single_station,5,11306,16,362,ifs_hres,pangu_hres_init,0.9745,graphcast_hres_init__minus__pangu_hres_init,-0.16798008490444993,-0.20751249412219724,-0.130690253437196,0.5885,48
station,bilinear,single_station,7,11306,16,362,ifs_hres,pangu_hres_init,0.968,graphcast_hres_init__minus__pangu_hres_init,-0.16839495461119183,-0.2080972380203442,-0.13023496860126058,0.6065,48
station,bilinear,sparse_2_3,1,24745,35,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.15419014470646142,-0.18324196423310818,-0.12698570771335518,1.0,48
station,bilinear,sparse_2_3,3,24745,35,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.15466546658224864,-0.18708716034236864,-0.123625359939417,1.0,48
station,bilinear,sparse_2_3,5,24745,35,362,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.1539116973865103,-0.18579682881359535,-0.12215825247197698,0.9995,48
station,bilinear,sparse_2_3,7,24745,35,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.154200047803831,-0.18596607781816316,-0.1223364897447843,1.0,48
station,nearest,all_eligible,1,102694,146,362,graphcast_hres_init,pangu_hres_init,0.7615,graphcast_hres_init__minus__pangu_hres_init,-0.11296979188156536,-0.1363981187649215,-0.0900184852790859,0.7615,48
station,nearest,all_eligible,3,102694,146,362,graphcast_hres_init,pangu_hres_init,0.7125,graphcast_hres_init__minus__pangu_hres_init,-0.11307763714480455,-0.13930037105659154,-0.08675362112186438,0.7125,48
station,nearest,all_eligible,5,102694,146,362,graphcast_hres_init,pangu_hres_init,0.716,graphcast_hres_init__minus__pangu_hres_init,-0.11294565152453709,-0.14134823124560364,-0.08580414078153188,0.716,48
station,nearest,all_eligible,7,102694,146,362,graphcast_hres_init,pangu_hres_init,0.7005,graphcast_hres_init__minus__pangu_hres_init,-0.11276679138235954,-0.1393310618590997,-0.08456244799454704,0.7005,48
station,nearest,dense_4_plus,1,66643,95,362,graphcast_hres_init,graphcast_hres_init,0.2945,graphcast_hres_init__minus__pangu_hres_init,-0.10560748614395256,-0.13336947414303066,-0.07995469567813666,0.2945,48
station,nearest,dense_4_plus,3,66643,95,362,graphcast_hres_init,graphcast_hres_init,0.337,graphcast_hres_init__minus__pangu_hres_init,-0.10644239944339709,-0.13767374659897166,-0.0781348825201564,0.337,48
station,nearest,dense_4_plus,5,66643,95,362,graphcast_hres_init,graphcast_hres_init,0.3245,graphcast_hres_init__minus__pangu_hres_init,-0.10545680074022505,-0.13773327814197425,-0.07431933836824754,0.3245,48
station,nearest,dense_4_plus,7,66643,95,362,graphcast_hres_init,graphcast_hres_init,0.3555,graphcast_hres_init__minus__pangu_hres_init,-0.1059188880563748,-0.13890674439157663,-0.07418237230475459,0.3555,48
station,nearest,single_station,1,11306,16,362,graphcast_hres_init,pangu_hres_init,0.6885,graphcast_hres_init__minus__pangu_hres_init,-0.11558979641316201,-0.1450977222418337,-0.08591923207697968,0.6885,48
station,nearest,single_station,3,11306,16,362,graphcast_hres_init,pangu_hres_init,0.6345,graphcast_hres_init__minus__pangu_hres_init,-0.11493686381293386,-0.1497750543906234,-0.07986767825520798,0.6345,48
station,nearest,single_station,5,11306,16,362,graphcast_hres_init,pangu_hres_init,0.6165,graphcast_hres_init__minus__pangu_hres_init,-0.114460975599237,-0.15318073026784612,-0.07567895093382015,0.6165,48
station,nearest,single_station,7,11306,16,362,graphcast_hres_init,pangu_hres_init,0.6355,graphcast_hres_init__minus__pangu_hres_init,-0.11600765242283803,-0.15174048848500063,-0.07874124766800172,0.6355,48
station,nearest,sparse_2_3,1,24745,35,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1312488287640445,-0.16238604070424514,-0.1010283403176412,1.0,48
station,nearest,sparse_2_3,3,24745,35,362,graphcast_hres_init,pangu_hres_init,0.998,graphcast_hres_init__minus__pangu_hres_init,-0.13092657438038924,-0.16662273379283352,-0.09673055381637526,0.998,48
station,nearest,sparse_2_3,5,24745,35,362,graphcast_hres_init,pangu_hres_init,0.997,graphcast_hres_init__minus__pangu_hres_init,-0.13088507569752594,-0.1680240852687179,-0.09562156340820263,0.997,48
station,nearest,sparse_2_3,7,24745,35,362,graphcast_hres_init,pangu_hres_init,0.9965,graphcast_hres_init__minus__pangu_hres_init,-0.13182270123051298,-0.16956338523233752,-0.09529793373992512,0.9965,48
cell_aggregate,nearest,dense_4_plus,1,8652,12,361,graphcast_hres_init,graphcast_hres_init,0.0535,graphcast_hres_init__minus__pangu_hres_init,-0.14248208576446586,-0.16792229519893995,-0.11794494640617957,0.0535,72
cell_aggregate,nearest,dense_4_plus,3,8652,12,361,graphcast_hres_init,graphcast_hres_init,0.0695,graphcast_hres_init__minus__pangu_hres_init,-0.1420715456507791,-0.17115386210180922,-0.11330876552778736,0.0695,72
