draw,reference,model,mae_c_day_weighted
68,era5_station,pangu_hres_init,0.8997782230345218
69,era5_station,ifs_hres,1.1973168348841032
69,era5_station,graphcast_hres_init,0.9598222922806291
69,era5_station,pangu_hres_init,0.9096136228632176
70,era5_station,ifs_hres,1.155630193489405
70,era5_station,graphcast_hres_init,0.9448430130520468
70,era5_station,pangu_hres_init,0.8933718231642674
71,era5_station,ifs_hres,1.1572132023269628
71,era5_station,graphcast_hres_init,0.9349932989467625
71,era5_station,pangu_hres_init,0.8855738700364423
72,era5_station,ifs_hres,1.1811543083019826
72,era5_station,graphcast_hres_init,0.9492159029874238
72,era5_station,pangu_hres_init,0.8953465283790847
73,era5_station,ifs_hres,1.1756313775632807
73,era5_station,graphcast_hres_init,0.9381281816920817
73,era5_station,pangu_hres_init,0.9131594181744067
74,era5_station,ifs_hres,1.1740294631815968
74,era5_station,graphcast_hres_init,0.9349311317232197
74,era5_station,pangu_hres_init,0.8855717265302427
75,era5_station,ifs_hres,1.1772269130829511
75,era5_station,graphcast_hres_init,0.9529338654173136
75,era5_station,pangu_hres_init,0.8911493156331464
76,era5_station,ifs_hres,1.1764189313631634
76,era5_station,graphcast_hres_init,0.96419328220249
76,era5_station,pangu_hres_init,0.8971051784389206
77,era5_station,ifs_hres,1.1677512658129021
77,era5_station,graphcast_hres_init,0.9610462179513312
77,era5_station,pangu_hres_init,0.9011740343449298
78,era5_station,ifs_hres,1.1715237482708194
78,era5_station,graphcast_hres_init,0.9452470576488922
78,era5_station,pangu_hres_init,0.9109176372676313
79,era5_station,ifs_hres,1.1682979163208036
79,era5_station,graphcast_hres_init,0.9432073867285133
79,era5_station,pangu_hres_init,0.8694850288297343
80,era5_station,ifs_hres,1.146917463105061
80,era5_station,graphcast_hres_init,0.9550279436506084
80,era5_station,pangu_hres_init,0.8828717545627516
81,era5_station,ifs_hres,1.1645147814606858
81,era5_station,graphcast_hres_init,0.9625169010179058
81,era5_station,pangu_hres_init,0.9026550844716885
82,era5_station,ifs_hres,1.159080399275255
82,era5_station,graphcast_hres_init,0.9473721474858824
82,era5_station,pangu_hres_init,0.9111437096022851
83,era5_station,ifs_hres,1.170969077005032
83,era5_station,graphcast_hres_init,0.9560970311457094
83,era5_station,pangu_hres_init,0.8955869000544932
84,era5_station,ifs_hres,1.183192259968935
84,era5_station,graphcast_hres_init,0.944302755728375
84,era5_station,pangu_hres_init,0.9008200040316597
85,era5_station,ifs_hres,1.1956184983745053
85,era5_station,graphcast_hres_init,0.9502622122383041
85,era5_station,pangu_hres_init,0.9081184523653256
86,era5_station,ifs_hres,1.1775473446329092
86,era5_station,graphcast_hres_init,0.9422915806080062
86,era5_station,pangu_hres_init,0.9005530557553305
87,era5_station,ifs_hres,1.2118328388721389
87,era5_station,graphcast_hres_init,0.9546322335876346
87,era5_station,pangu_hres_init,0.8937098851690689
88,era5_station,ifs_hres,1.1697835237687362
88,era5_station,graphcast_hres_init,0.9485823468178445
88,era5_station,pangu_hres_init,0.8873167547177353
89,era5_station,ifs_hres,1.1891004991631235
89,era5_station,graphcast_hres_init,0.9611898579413534
89,era5_station,pangu_hres_init,0.910307155601534
90,era5_station,ifs_hres,1.185420789186794
90,era5_station,graphcast_hres_init,0.9536595042100978
90,era5_station,pangu_hres_init,0.926814896593055
91,era5_station,ifs_hres,1.1848213609123224
91,era5_station,graphcast_hres_init,0.9624102882848308
91,era5_station,pangu_hres_init,0.9133768698409611
92,era5_station,ifs_hres,1.188646097100835
92,era5_station,graphcast_hres_init,0.9499223575524185
92,era5_station,pangu_hres_init,0.8989636298244309
93,era5_station,ifs_hres,1.1500334858944816
93,era5_station,graphcast_hres_init,0.952127257676709
93,era5_station,pangu_hres_init,0.8991499139718764
94,era5_station,ifs_hres,1.1629919602341248
94,era5_station,graphcast_hres_init,0.9555269827011611
94,era5_station,pangu_hres_init,0.8908372371644916
95,era5_station,ifs_hres,1.1753146502697365
95,era5_station,graphcast_hres_init,0.9610654209481568
95,era5_station,pangu_hres_init,0.9063013692323814
96,era5_station,ifs_hres,1.1913930252778204
96,era5_station,graphcast_hres_init,0.979811519539889
96,era5_station,pangu_hres_init,0.9292721227821489
97,era5_station,ifs_hres,1.1758187576082968
97,era5_station,graphcast_hres_init,0.9373968947929765
97,era5_station,pangu_hres_init,0.9020881660763901
98,era5_station,ifs_hres,1.2010760022736227
98,era5_station,graphcast_hres_init,0.9681156454193101
98,era5_station,pangu_hres_init,0.9198504000156416
99,era5_station,ifs_hres,1.2063359122517536
99,era5_station,graphcast_hres_init,0.9643048943219041
99,era5_station,pangu_hres_init,0.8958734237894663
100,era5_station,ifs_hres,1.1737221278482868
100,era5_station,graphcast_hres_init,0.9447769264586933
100,era5_station,pangu_hres_init,0.8808169920256834
101,era5_station,ifs_hres,1.1769584536850126
101,era5_station,graphcast_hres_init,0.9550669673116057
101,era5_station,pangu_hres_init,0.9094344097122156
102,era5_station,ifs_hres,1.1742726031015196
102,era5_station,graphcast_hres_init,0.9606675388593198
102,era5_station,pangu_hres_init,0.9219400315908121
103,era5_station,ifs_hres,1.1672481436670417
103,era5_station,graphcast_hres_init,0.9487336852240617
103,era5_station,pangu_hres_init,0.8931593290394677
104,era5_station,ifs_hres,1.1509570260329156
104,era5_station,graphcast_hres_init,0.9288225085486236
104,era5_station,pangu_hres_init,0.8867466069619773
105,era5_station,ifs_hres,1.140711381160749
105,era5_station,graphcast_hres_init,0.9373929872248773
105,era5_station,pangu_hres_init,0.8780931800266256
106,era5_station,ifs_hres,1.1696059053223185
106,era5_station,graphcast_hres_init,0.945530264802508
106,era5_station,pangu_hres_init,0.8627883337189106
107,era5_station,ifs_hres,1.1747614400658677
107,era5_station,graphcast_hres_init,0.9491625218235926
107,era5_station,pangu_hres_init,0.8910306281008336
108,era5_station,ifs_hres,1.197196665301556
108,era5_station,graphcast_hres_init,0.9656958485894761
108,era5_station,pangu_hres_init,0.8991487965972725
109,era5_station,ifs_hres,1.1717137044149586
109,era5_station,graphcast_hres_init,0.9361601503129768
109,era5_station,pangu_hres_init,0.8952211179749217
110,era5_station,ifs_hres,1.1673189499372458
110,era5_station,graphcast_hres_init,0.9690083384757356
110,era5_station,pangu_hres_init,0.9057716661792816
111,era5_station,ifs_hres,1.1893396272657646
111,era5_station,graphcast_hres_init,0.9612452875302496
111,era5_station,pangu_hres_init,0.891495922574999
112,era5_station,ifs_hres,1.1757422617969426
112,era5_station,graphcast_hres_init,0.9560454849790812
112,era5_station,pangu_hres_init,0.9032920078728017
113,era5_station,ifs_hres,1.1893447597655187
113,era5_station,graphcast_hres_init,0.9466633203559468
113,era5_station,pangu_hres_init,0.9069306860044651
114,era5_station,ifs_hres,1.1912058515469945
114,era5_station,graphcast_hres_init,0.9653767493003539
114,era5_station,pangu_hres_init,0.930669597426283
115,era5_station,ifs_hres,1.1766965432168672
115,era5_station,graphcast_hres_init,0.9510659497718114
115,era5_station,pangu_hres_init,0.8790070961142629
116,era5_station,ifs_hres,1.1824164140715023
116,era5_station,graphcast_hres_init,0.9808337300424363
116,era5_station,pangu_hres_init,0.9082065243418554
117,era5_station,ifs_hres,1.1875258653216536
117,era5_station,graphcast_hres_init,0.9521461987630458
117,era5_station,pangu_hres_init,0.8978948280976171
