lead_h,stratum_type,stratum,block_days,n_common_cases,n_stations,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability
48,altitude_stratum,altitude_mid,3,33772,48,362,pangu_hres_init,pangu_hres_init,0.081,graphcast_hres_init__minus__pangu_hres_init,-0.08041818135881951,-0.11523550313840646,-0.048235075368446054,0.081
48,altitude_stratum,altitude_mid,5,33772,48,362,pangu_hres_init,pangu_hres_init,0.0875,graphcast_hres_init__minus__pangu_hres_init,-0.08016507563700626,-0.11215877143796803,-0.04868311752832347,0.0875
48,altitude_stratum,altitude_mid,7,33772,48,362,pangu_hres_init,pangu_hres_init,0.093,graphcast_hres_init__minus__pangu_hres_init,-0.07959374876012326,-0.11144005798997879,-0.04665549870165331,0.093
48,coast_stratum,coast_0_25km,1,54868,78,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1326122405821046,-0.15579528886409585,-0.10839957074601923,1.0
48,coast_stratum,coast_0_25km,3,54868,78,362,graphcast_hres_init,pangu_hres_init,0.998,graphcast_hres_init__minus__pangu_hres_init,-0.13262453148372105,-0.16068384165221986,-0.10560141235784512,0.998
48,coast_stratum,coast_0_25km,5,54868,78,362,graphcast_hres_init,pangu_hres_init,0.9945,graphcast_hres_init__minus__pangu_hres_init,-0.13337839589236705,-0.16270192983767587,-0.10586438506527168,0.9945
48,coast_stratum,coast_0_25km,7,54868,78,362,graphcast_hres_init,pangu_hres_init,0.9945,graphcast_hres_init__minus__pangu_hres_init,-0.1330266807665833,-0.16199331249982593,-0.10500598817216579,0.9945
48,coast_stratum,interior_gt25km,1,47826,68,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.2090110188964262,-0.23984272581669638,-0.17741811918999645,1.0
48,coast_stratum,interior_gt25km,3,47826,68,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.20898702193484514,-0.24474164903917678,-0.1760329184326107,1.0
48,coast_stratum,interior_gt25km,5,47826,68,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.20969900652810625,-0.2459747639915721,-0.17463321997866202,1.0
