lead_h,stratum_type,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses
24,altitude_stratum,altitude_mid,7,graphcast_hres_init,pangu_hres_init,0.09451602926525249,-0.002313066008749365,-0.0966950548581421,-0.12331560791563767,-0.06952871393396222,0.0,0.5425
24,altitude_stratum,altitude_mid,7,ifs_hres,graphcast_hres_init,0.2174938319857983,0.1517782450147913,-0.0657827288974533,-0.0952392996012679,-0.03836841434596447,0.0,0.0
24,altitude_stratum,altitude_mid,7,ifs_hres,pangu_hres_init,0.3120098612510508,0.14946517900604195,-0.1624777837555954,-0.1901500646381201,-0.13689745361550354,0.0,0.0
24,coast_stratum,coast_0_25km,1,graphcast_hres_init,pangu_hres_init,0.05212950304585251,-0.06363659067875793,-0.11569039862036593,-0.13536215294622114,-0.0950440796195202,0.0,1.0
24,coast_stratum,coast_0_25km,1,ifs_hres,graphcast_hres_init,0.2603252494310616,0.09682405102266523,-0.16370762876808015,-0.18386672729976558,-0.14323990930894526,0.0,0.0
24,coast_stratum,coast_0_25km,1,ifs_hres,pangu_hres_init,0.3124547524769141,0.033187460343907293,-0.27939802738844605,-0.30426555055676263,-0.25498953584836814,0.0,0.009
24,coast_stratum,coast_0_25km,3,graphcast_hres_init,pangu_hres_init,0.05212950304585251,-0.06363659067875793,-0.11553882306853268,-0.13871332386646695,-0.09165979145678756,0.0,1.0
24,coast_stratum,coast_0_25km,3,ifs_hres,graphcast_hres_init,0.2603252494310616,0.09682405102266523,-0.16329231745719075,-0.18679077827152482,-0.13945710123899754,0.0,0.0
24,coast_stratum,coast_0_25km,3,ifs_hres,pangu_hres_init,0.3124547524769141,0.033187460343907293,-0.2788311405257234,-0.3051742304614816,-0.25235397683729155,0.0,0.0195
24,coast_stratum,coast_0_25km,5,graphcast_hres_init,pangu_hres_init,0.05212950304585251,-0.06363659067875793,-0.11580918327528371,-0.13908777671355566,-0.09241313873335168,0.0,0.9995
