network,model,reference,sigma_km,block_days,metric,change,ci_low,ci_high,p_smoothing_improves
inmet_hourly,graphcast_era5,station,100.0,5,mae,0.27226095957054347,0.2651338047218499,0.27955803783184585,0.0
inmet_hourly,graphcast_era5,station,12.5,7,mae,0.0035828042860480388,0.003355718487428133,0.003816604588241607,0.0
inmet_hourly,graphcast_era5,station,25.0,7,mae,0.04643584456754951,0.04418111250843903,0.0487110124428834,0.0
inmet_hourly,graphcast_era5,station,50.0,7,mae,0.13545904013010673,0.1301914239444603,0.14093139779857702,0.0
inmet_hourly,graphcast_era5,station,100.0,7,mae,0.2721884962513182,0.26461834058854095,0.2798813121507555,0.0
inmet_hourly,graphcast_era5,station,12.5,1,rmse,0.0049865603988573344,0.004823359058425247,0.0051570027277217986,0.0
inmet_hourly,graphcast_era5,station,25.0,1,rmse,0.06485894690054288,0.06329826440926738,0.06639742324161135,0.0
inmet_hourly,graphcast_era5,station,50.0,1,rmse,0.188956717543421,0.1848729489725031,0.1930560915424976,0.0
inmet_hourly,graphcast_era5,station,100.0,1,rmse,0.3801758590034674,0.3734604042262292,0.3873554559026263,0.0
inmet_hourly,graphcast_era5,station,12.5,3,rmse,0.004981076675020724,0.004735868259125748,0.005221478244049843,0.0
inmet_hourly,graphcast_era5,station,25.0,3,rmse,0.06481262870552353,0.06254442838850041,0.06711361559434299,0.0
inmet_hourly,graphcast_era5,station,50.0,3,rmse,0.18884539619815285,0.18301216801904385,0.194698355914848,0.0
inmet_hourly,graphcast_era5,station,100.0,3,rmse,0.38000237311890284,0.3704496342800303,0.3895766879718973,0.0
inmet_hourly,graphcast_era5,station,12.5,5,rmse,0.004985490006258381,0.004691469384616765,0.005268529544480004,0.0
inmet_hourly,graphcast_era5,station,25.0,5,rmse,0.06483833742543095,0.06198583361461147,0.06756150403574337,0.0
inmet_hourly,graphcast_era5,station,50.0,5,rmse,0.18890421600263924,0.18170650777966535,0.19583404438861834,0.0
inmet_hourly,graphcast_era5,station,100.0,5,rmse,0.38006642656219786,0.36865900366291743,0.39152609724604065,0.0
inmet_hourly,graphcast_era5,station,12.5,7,rmse,0.004979750078977173,0.0046622600117462555,0.005296994946394789,0.0
inmet_hourly,graphcast_era5,station,25.0,7,rmse,0.06478933635406056,0.061825588097433506,0.06784789869558822,0.0
inmet_hourly,graphcast_era5,station,50.0,7,rmse,0.18880104069898943,0.18137450959326495,0.1966068183570834,0.0
inmet_hourly,graphcast_era5,station,100.0,7,rmse,0.37998187502093106,0.3677323858498505,0.3925422921540743,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,1,centred_rmse,-0.011626410204837985,-0.01201106574011103,-0.01124347567886044,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,1,centred_rmse,-0.026547199617576227,-0.02818020897103473,-0.02491142102002635,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,1,centred_rmse,0.08391962731074144,0.08017967017904938,0.08781472528722592,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,1,centred_rmse,0.3054769093337925,0.2970502924713438,0.31414421936073644,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,3,centred_rmse,-0.011633640047617409,-0.012181754108594955,-0.011118266320776124,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,3,centred_rmse,-0.026567275058789683,-0.028886308915359826,-0.02429940782663719,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,3,centred_rmse,0.08396937561516639,0.07875866019582457,0.08875292901001815,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,3,centred_rmse,0.30562382909117136,0.29470635981109433,0.31609912375841953,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,5,centred_rmse,-0.011636437865262996,-0.012252581653931598,-0.011018033422095622,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,5,centred_rmse,-0.026570653539279863,-0.02909194186511087,-0.02400948298613715,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,5,centred_rmse,0.08394291552096464,0.07816824035152899,0.08946446239810005,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,5,centred_rmse,0.3054833886816279,0.292799854982601,0.31741154114112113,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,7,centred_rmse,-0.011624373338355564,-0.012327843119443096,-0.010894316322456831,1.0
