network,model,reference,sigma_km,change,ci_low,ci_high,metric,block_days,p_smoothing_improves,figure_panel,ladder,weighting,support_km,optimal_sigma_km_point,optimal_sigma_km_bootstrap_mean,optimal_sigma_ci_low_km,optimal_sigma_ci_high_km,p_optimal_sigma_gt_zero,route,thinning_mean,thinning_median,thinning_ci_low,thinning_ci_high
midas_open_uk,pangu_hres_init,era5,50.0,0.2376184668809746,0.2159676005681988,0.2620052412957442,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,era5,100.0,0.6258534308320514,0.5817116097249212,0.6730202179082597,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,station,12.5,0.0105468031696207,0.0086977401094113,0.0126282015015059,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,station,25.0,0.0629788820128338,0.0533616358236108,0.0736312115699409,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,station,50.0,0.2045793444604613,0.1804115875336706,0.2310255664107068,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,station,100.0,0.4817424177256053,0.4375572230944544,0.5283855089190738,rmse,7.0,0.0,b,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,,
inmet_hourly,graphcast_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,50.0,25.0,25.0,25.0,25.0,1.0,uniform,,,,
inmet_hourly,graphcast_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,100.0,50.0,50.0,50.0,50.0,1.0,uniform,,,,
inmet_hourly,graphcast_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,200.0,50.0,50.0,50.0,50.0,1.0,uniform,,,,
inmet_hourly,ifs_hres,,,,,,rmse,7.0,,c,prospective_common,uniform,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,,
inmet_hourly,ifs_hres,,,,,,rmse,7.0,,c,prospective_common,uniform,50.0,25.0,25.0,25.0,25.0,1.0,uniform,,,,
inmet_hourly,ifs_hres,,,,,,rmse,7.0,,c,prospective_common,uniform,100.0,50.0,50.0,50.0,50.0,1.0,uniform,,,,
inmet_hourly,ifs_hres,,,,,,rmse,7.0,,c,prospective_common,uniform,200.0,50.0,50.0,50.0,50.0,1.0,uniform,,,,
inmet_hourly,pangu_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,,
inmet_hourly,pangu_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,50.0,25.0,25.0,25.0,25.0,1.0,uniform,,,,
inmet_hourly,pangu_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,100.0,50.0,50.0,50.0,50.0,1.0,uniform,,,,
inmet_hourly,pangu_hres_init,,,,,,rmse,7.0,,c,prospective_common,uniform,200.0,50.0,50.0,50.0,50.0,1.0,uniform,,,,
inmet_hourly,graphcast_hres_init,,,,,,,,,c,,,0.0,,,,,,thinning,0.0,0.0,0.0,0.0
inmet_hourly,graphcast_hres_init,,,,,,,,,c,,,50.0,,,,,,thinning,25.0,25.0,25.0,25.0
inmet_hourly,graphcast_hres_init,,,,,,,,,c,,,100.0,,,,,,thinning,47.916666666666664,50.0,25.0,50.0
inmet_hourly,graphcast_hres_init,,,,,,,,,c,,,200.0,,,,,,thinning,64.16666666666667,50.0,50.0,100.0
inmet_hourly,ifs_hres,,,,,,,,,c,,,0.0,,,,,,thinning,0.0,0.0,0.0,0.0
inmet_hourly,ifs_hres,,,,,,,,,c,,,50.0,,,,,,thinning,25.0,25.0,25.0,25.0
inmet_hourly,ifs_hres,,,,,,,,,c,,,100.0,,,,,,thinning,48.333333333333336,50.0,25.0,50.0
inmet_hourly,ifs_hres,,,,,,,,,c,,,200.0,,,,,,thinning,63.333333333333336,50.0,50.0,100.0
inmet_hourly,pangu_hres_init,,,,,,,,,c,,,0.0,,,,,,thinning,0.0,0.0,0.0,0.0
inmet_hourly,pangu_hres_init,,,,,,,,,c,,,50.0,,,,,,thinning,25.0,25.0,25.0,25.0
inmet_hourly,pangu_hres_init,,,,,,,,,c,,,100.0,,,,,,thinning,41.666666666666664,50.0,25.0,50.0
inmet_hourly,pangu_hres_init,,,,,,,,,c,,,200.0,,,,,,thinning,56.666666666666664,50.0,50.0,100.0
midas_open_uk,graphcast_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,,
midas_open_uk,graphcast_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,50.0,0.0,0.0125,0.0,0.0,0.001,uniform,,,,
midas_open_uk,graphcast_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,100.0,12.5,13.08125,12.5,25.0,0.9965,uniform,,,,
midas_open_uk,graphcast_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,200.0,12.5,16.94375,12.5,25.0,0.99,uniform,,,,
midas_open_uk,ifs_hres,,,,,,rmse,7.0,,d,prospective_common,uniform,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,,
midas_open_uk,ifs_hres,,,,,,rmse,7.0,,d,prospective_common,uniform,50.0,12.5,16.975,12.5,25.0,0.9995,uniform,,,,
midas_open_uk,ifs_hres,,,,,,rmse,7.0,,d,prospective_common,uniform,100.0,25.0,25.00625,25.0,25.0,1.0,uniform,,,,
midas_open_uk,ifs_hres,,,,,,rmse,7.0,,d,prospective_common,uniform,200.0,50.0,37.925,25.0,50.0,1.0,uniform,,,,
