network,model,model_family,cohort,reference,sigma_km,metric,score,n_days
inmet_hourly,ifs_hres,ifs,hres_initialised,station,0.0,rmse,1.7404367114130423,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,12.5,rmse,1.7461030540982074,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,25.0,rmse,1.8222081869323863,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,50.0,rmse,1.9412438011464204,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,100.0,rmse,2.115471346520237,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,0.0,centred_rmse,0.8473455403933157,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,12.5,centred_rmse,0.846964279429561,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,25.0,centred_rmse,0.8705186197540674,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,50.0,centred_rmse,0.9959067664556813,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,100.0,centred_rmse,1.2266917679558453,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,0.0,mae,0.6380441949682887,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,12.5,mae,0.638200519897942,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,25.0,mae,0.6619528504416224,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,50.0,mae,0.7672631670656743,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,100.0,mae,0.9522670531018355,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,0.0,rmse,0.8486469160124974,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,12.5,rmse,0.8484011608315724,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,25.0,rmse,0.8726803803111443,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,50.0,rmse,1.0005553844638329,365
inmet_hourly,pangu_era5,pangu,era5_initialised,era5,100.0,rmse,1.2422507153871265,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,0.0,centred_rmse,1.6846308810211716,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,12.5,centred_rmse,1.6889255422316092,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,25.0,centred_rmse,1.7441307791560892,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,50.0,centred_rmse,1.862104116540965,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,100.0,centred_rmse,2.0349345180713563,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,0.0,mae,1.2764169081152634,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,12.5,mae,1.2795268856467628,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,25.0,mae,1.3193872621255565,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,50.0,mae,1.4066244376217683,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,100.0,mae,1.5397192854937694,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,0.0,rmse,1.7080374900887538,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,12.5,rmse,1.7126661169725714,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,25.0,rmse,1.7691044116899337,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,50.0,rmse,1.8913212684599117,365
inmet_hourly,pangu_era5,pangu,era5_initialised,station,100.0,rmse,2.080038385995588,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,0.0,centred_rmse,0.948052979502104,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,12.5,centred_rmse,0.9427105189163736,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,25.0,centred_rmse,0.9453940795189149,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,50.0,centred_rmse,1.0552607870945907,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,100.0,centred_rmse,1.2721378229256806,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,0.0,mae,0.7324860513147848,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,12.5,mae,0.7276515133959115,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,25.0,mae,0.730729185135277,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,50.0,mae,0.8213399970153292,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,100.0,mae,0.990357943398431,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,0.0,rmse,0.9558013116199817,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,12.5,rmse,0.9500023042329617,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,25.0,rmse,0.9507072128159827,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,50.0,rmse,1.0570822750549176,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,era5,100.0,rmse,1.2729281068874179,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,0.0,centred_rmse,1.673080354746856,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,12.5,centred_rmse,1.6788646463711012,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,25.0,centred_rmse,1.7502799933935245,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,50.0,centred_rmse,1.8766499768400733,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,100.0,centred_rmse,2.0529514798577075,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,0.0,mae,1.2567786332977906,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,12.5,mae,1.2612427508553314,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,25.0,mae,1.3167966135646778,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,50.0,mae,1.4124532064920838,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,100.0,mae,1.5456644492559275,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,0.0,rmse,1.6769165109652324,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,12.5,rmse,1.6829602807396165,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,25.0,rmse,1.755436279901523,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,50.0,rmse,1.8845879108300645,365
inmet_hourly,pangu_hres_init,pangu,hres_initialised,station,100.0,rmse,2.071912995976262,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,0.0,centred_rmse,0.7302680404123592,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,12.5,centred_rmse,0.7271559538282368,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,25.0,centred_rmse,0.7647373572076811,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,50.0,centred_rmse,0.9626523602045736,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,100.0,centred_rmse,1.343455634729241,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,0.0,mae,0.6037148015180772,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,12.5,mae,0.5997403261479713,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,25.0,mae,0.6136729215019386,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,50.0,mae,0.7286640729575761,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,100.0,mae,0.9926635105891632,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,0.0,rmse,0.7909736461375133,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,12.5,rmse,0.7850843522409225,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,25.0,rmse,0.8055617122181123,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,50.0,rmse,0.9736372319073332,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,era5,100.0,rmse,1.3441026692026248,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,0.0,centred_rmse,1.5247805866637445,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,12.5,centred_rmse,1.524560796358539,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,25.0,centred_rmse,1.5539300382031285,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,50.0,centred_rmse,1.6695727051862668,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,100.0,centred_rmse,1.910147314980275,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,0.0,mae,1.182068178990503,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,12.5,mae,1.1810244350219763,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,25.0,mae,1.1953380688557025,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,50.0,mae,1.2557894283438416,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,100.0,mae,1.4256228927913348,365
