network,ladder,model,draw,support_km,metric,stations_kept,optimal_sigma_km,n_centres
inmet_hourly,prospective_common,graphcast_hres_init,42,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,43,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,43,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,43,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,43,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,44,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,44,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,44,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,44,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,45,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,45,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,45,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,45,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,46,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,46,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,46,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,46,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,47,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,47,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,47,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,47,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,48,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,48,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,48,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,48,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,49,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,49,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,49,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,49,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,50,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,50,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,50,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,50,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,51,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,51,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,51,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,51,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,52,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,52,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,52,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,52,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,53,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,53,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,53,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,53,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,54,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,54,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,54,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,54,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,55,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,55,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,55,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,55,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,56,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,56,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,56,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,56,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,57,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,57,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,57,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,57,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,58,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,58,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,58,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,58,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,59,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,59,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,59,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,59,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,200.0,rmse,3,100.0,37
