network,ladder,model,weighting,support_km,metric,sigma_km,score,n_centres,n_days
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,25.0,1.4760746947083323,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,50.0,1.2216584590521598,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,100.0,1.3049954446009857,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,0.0,1.639740193402728,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,12.5,1.6546688866226609,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,25.0,1.7967352850123337,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,50.0,1.9918557563531778,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,100.0,2.278018083318254,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,0.0,1.2259864150372168,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,12.5,1.227466647141192,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,25.0,1.2517913190664032,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,50.0,1.4617510242565745,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,100.0,1.8464367383399205,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,0.0,1.0891338734911336,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,12.5,1.0804534034349915,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,25.0,1.0061095561627957,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,50.0,1.0989157081674583,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,100.0,1.4673414059003855,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,0.0,1.0944319372703921,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,12.5,1.07478520739653,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,25.0,0.9351213176570214,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,50.0,0.8585583223723193,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,100.0,1.1117854003001566,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,0.0,2.2909253589633183,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,12.5,2.312767389286919,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,25.0,2.500125602911303,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,50.0,2.772847886797941,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,100.0,3.1471242616035067,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,0.0,1.6088837794687598,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,12.5,1.6126568596585598,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,25.0,1.668016458812316,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,50.0,1.9565011728650328,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,100.0,2.4260842776892533,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,0.0,1.391848894304333,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,12.5,1.3807721386895206,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,25.0,1.284241293476918,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,50.0,1.411878656456081,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,100.0,1.8621233856115917,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,0.0,1.4156856078690068,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,12.5,1.3952363681392566,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,25.0,1.2077689053901872,37,365
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,50.0,1.096546253011009,37,365
