network,model,reference,sigma_km,mse_c2,bias_c,bias_squared_c2,centred_mse_c2
inmet_hourly,graphcast_era5,station,50.0,3.7985964605086373,0.49265256342940084,0.2427065482535598,3.5558899122550773
inmet_hourly,graphcast_era5,station,100.0,4.580401499387418,0.5859577346568902,0.3433464668042345,4.237055032583183
inmet_hourly,graphcast_hres_init,era5,0.0,0.8838484519216377,-0.12067998389729807,0.014563658513452123,0.8692847934081857
inmet_hourly,graphcast_hres_init,era5,12.5,0.8609105187595713,-0.11477555570050697,0.013173428186360178,0.8477370905732111
inmet_hourly,graphcast_hres_init,era5,25.0,0.8291209847202441,-0.09297658768601916,0.00864464585773601,0.820476338862508
inmet_hourly,graphcast_hres_init,era5,50.0,1.0352266918294255,-0.04904496070889713,0.002405408170937263,1.0328212836584882
inmet_hourly,graphcast_hres_init,era5,100.0,1.5365222443270703,0.06495592767919038,0.004219272540664211,1.532302971786406
inmet_hourly,graphcast_hres_init,station,0.0,2.6143125689502447,0.11413931572017068,0.0130277833930688,2.601284785557176
inmet_hourly,graphcast_hres_init,station,12.5,2.641762096117095,0.12004374391696179,0.0144105004536011,2.627351595663494
inmet_hourly,graphcast_hres_init,station,25.0,2.9437481805698797,0.14184271193144962,0.0201193549280682,2.9236288256418117
inmet_hourly,graphcast_hres_init,station,50.0,3.4324844645930175,0.18577433890857165,0.034512104996916836,3.3979723595961007
inmet_hourly,graphcast_hres_init,station,100.0,4.188822831983741,0.2997752272966591,0.08986518690076364,4.098957645082977
inmet_hourly,ifs_ens_mean,era5,0.0,1.1557064448273549,-0.1704971979075155,0.029069294494314505,1.1266371503330403
inmet_hourly,ifs_ens_mean,era5,12.5,1.1426847542034337,-0.16771123495291035,0.0281270583294303,1.1145576958740033
inmet_hourly,ifs_ens_mean,era5,25.0,1.126987067843563,-0.15494071730138592,0.02400662587786799,1.102980441965695
inmet_hourly,ifs_ens_mean,era5,50.0,1.3184938395864518,-0.11531053762521762,0.013296520087416728,1.3051973194990352
inmet_hourly,ifs_ens_mean,era5,100.0,1.7837375904999724,-0.0033408897213909063,1.1161544130495407e-05,1.7837264289558419
inmet_hourly,ifs_ens_mean,station,0.0,2.994235501821989,0.06432210170995328,0.004137332768385575,2.9900981690536033
inmet_hourly,ifs_ens_mean,station,12.5,3.006477442658171,0.06710806466455844,0.004503492343022558,3.0019739503151484
inmet_hourly,ifs_ens_mean,station,25.0,3.2241308255976353,0.07987858231608289,0.00638058791282723,3.217750237684808
inmet_hourly,ifs_ens_mean,station,50.0,3.682673881987022,0.11950876199225113,0.01428234419292053,3.6683915377941014
inmet_hourly,ifs_ens_mean,station,100.0,4.390369992301245,0.23147840989607787,0.053582254248016645,4.3367877380532285
inmet_hourly,ifs_hres,era5,0.0,1.3309691326439785,-0.05419911831230761,0.002937544425831518,1.328031588218147
inmet_hourly,ifs_hres,era5,12.5,1.290507950464717,-0.04900092524510727,0.0024010906748765906,1.2881068597898404
inmet_hourly,ifs_hres,era5,25.0,1.1906893280118833,-0.03244417012847906,0.001052624175325693,1.1896367038365576
inmet_hourly,ifs_hres,era5,50.0,1.3522463001025447,0.007071877015016862,5.0011444515523795e-05,1.3521962886580292
inmet_hourly,ifs_hres,era5,100.0,1.8127489451608598,0.11686175586287903,0.013656669983355142,1.7990922751775047
inmet_hourly,ifs_hres,station,0.0,3.0291199464342453,0.18062018130516116,0.03262364989470929,2.996496296539536
inmet_hourly,ifs_hres,station,12.5,3.048875875531088,0.1858183743723615,0.034528468254387094,3.0143474072767007
inmet_hourly,ifs_hres,station,25.0,3.3204426765234145,0.2023751294889897,0.040955693035685345,3.2794869834877294
inmet_hourly,ifs_hres,station,50.0,3.768427495489403,0.24189117663248563,0.05851134133264836,3.7099161541567542
inmet_hourly,ifs_hres,station,100.0,4.475219017948144,0.3516810554803478,0.12367956478377146,4.3515394531643725
inmet_hourly,pangu_era5,era5,0.0,0.7202015880575229,0.04698003015199894,0.0022071232330827294,0.7179944648244402
inmet_hourly,pangu_era5,era5,12.5,0.7197845297003594,0.04935624652183319,0.0024360390707239706,0.7173484906296355
inmet_hourly,pangu_era5,era5,25.0,0.7615710461800034,0.061387122765908964,0.0037683788414767786,0.7578026673385266
inmet_hourly,pangu_era5,era5,50.0,1.0011110773795682,0.09633685643281692,0.009280789907357178,0.991830287472211
inmet_hourly,pangu_era5,era5,100.0,1.5431868398798274,0.19599527113986734,0.038414146309190114,1.5047726935706374
inmet_hourly,pangu_era5,station,0.0,2.91739206754869,0.2817993297694677,0.0794108622585212,2.837981205290169
inmet_hourly,pangu_era5,station,12.5,2.9332252282259055,0.28417554613930196,0.08075574102357054,2.852469487202335
inmet_hourly,pangu_era5,station,25.0,3.1297304194607865,0.29620642238337774,0.08773824466115998,3.0419921747996264
inmet_hourly,pangu_era5,station,50.0,3.577096140528809,0.3311561560502857,0.10966439969000118,3.467431740838808
inmet_hourly,pangu_era5,station,100.0,4.3265596872151315,0.4308145707573362,0.18560119437682784,4.140958492838304
inmet_hourly,pangu_hres_init,era5,0.0,0.9135561472944774,-0.12145655746669541,0.014751695351660685,0.8988044519428168
inmet_hourly,pangu_hres_init,era5,12.5,0.9025043780479367,-0.11747874519400688,0.013801255572358393,0.8887031224755784
inmet_hourly,pangu_hres_init,era5,25.0,0.9038442045003343,-0.10037050817305872,0.010074238910918047,0.8937699655894162
inmet_hourly,pangu_hres_init,era5,50.0,1.1174229362352806,-0.0620290855630283,0.003847607455785486,1.1135753287794952
inmet_hourly,pangu_hres_init,era5,100.0,1.6203459653039853,0.0448477957752112,0.0020113247858950514,1.6183346405180903
inmet_hourly,pangu_hres_init,station,0.0,2.8120489847478085,0.1133627421507734,0.012851111307942736,2.7991978734398657
inmet_hourly,pangu_hres_init,station,12.5,2.8323553065471683,0.11734055442346193,0.013768805712405432,2.818586500834763
inmet_hourly,pangu_hres_init,station,25.0,3.0815565327944987,0.13444879144441005,0.018076477520862468,3.063480055273636
inmet_hourly,pangu_hres_init,station,50.0,3.551671593646827,0.17279021405444045,0.02985645807297935,3.521815135573848
inmet_hourly,pangu_hres_init,station,100.0,4.2928234628953295,0.27966709539268,0.07821368424537836,4.214609778649951
midas_open_uk,era5_forecast,era5,0.0,0.625639308884072,-0.3038879695485903,0.09234789803636496,0.533291410847707
midas_open_uk,era5_forecast,era5,12.5,0.616357440133549,-0.2959757742547457,0.08760165894569619,0.5287557811878528
midas_open_uk,era5_forecast,era5,25.0,0.6489296721917769,-0.2531925091364049,0.06410644668278848,0.5848232255089885
midas_open_uk,era5_forecast,era5,50.0,0.9479694593561742,-0.1458420129754733,0.021269892748738126,0.926699566607436
midas_open_uk,era5_forecast,era5,100.0,1.8066119853576206,0.04170063395048806,0.0017389428718725972,1.804873042485748
midas_open_uk,era5_forecast,station,0.0,2.4042952620290254,-0.2816725484714351,0.07933942456239294,2.3249558374666326
midas_open_uk,era5_forecast,station,12.5,2.3992303527653016,-0.2737603531775905,0.07494473097191909,2.3242856217933827
midas_open_uk,era5_forecast,station,25.0,2.468048978838307,-0.2309770880592497,0.0533504152083304,2.4146985636299765
